Year,DCSP,TEMP_CHG,ANN_PRCP,FREQ_EXT_EVE,AG_TFP_IND,GDP,POP_GRW,C_Yld,RFWC,CH4_EMSN
1990,2201.0454,-0.098,1431.0149,14,68.60629939453872,368.749759408129,2.199,1.8912,1661.2056,70.82
1991,2290.3003,0.179,1134.923,11,68.64988506510623,303.850437957407,2.137,1.9262999,1626.6532,70.42
1992,2323.17,0.017,1000.0663,8,70.08235093361878,317.558734692935,2.123,2.0248,1593.2584,70.16
1993,2256.157,0.211,1174.9967,12,70.4096010280597,301.500786402084,2.077,2.0849,1560.9629,70.61
1994,2275.4902,0.1,1275.7301,6,71.1667498365914,346.227393126043,2.012,2.1155,1529.7347,70.31
1995,2303.5742,0.224,1186.0588,9,71.4483083515993,373.628233796392,2.014,2.1117,1499.5658,69.56
1996,2319.844,0.319,1191.4233,13,72.31757128096822,399.577306551262,1.982,2.181,1470.5864,69.4
1997,2340.933,-0.092,1206.3059,13,71.55812355104725,414.898683481559,1.951,2.2286,1442.6311,68.66
1998,2329.3618,0.588,1201.0219,16,71.48828782591696,412.509355760123,1.921,2.2484,1415.656,68.76
1999,2362.3123,0.467,1088.3833,13,72.92955088006536,440.961454614021,1.883,2.3137,1389.7164,68.27
2000,2340.9822,0.356,1079.3531,21,71.07768948170934,442.034778917695,1.875,2.2942,1364.6226,67.94
2001,2290.9014,0.479,1107.9401,22,72.74594031328253,449.911124933268,1.866,2.4231,1340.1659,67.81
2002,2240.0474,0.831,999.93604,18,67.62487182784335,468.84442830518,1.758,2.1873,1316.5646,66.93
2003,2233.7463,0.689,1225.7537,17,74.54903169084146,543.843798893951,1.711,2.3994,1294.058,66.45
2004,2205.0957,0.57,1104.7363,7,74.57622170633066,624.105094371897,1.696,2.35,1272.591,66.02
2005,2215.9458,0.606,1156.1407,31,78.26383793515109,710.509344850714,1.568,2.4115999,1252.3398,66.15
2006,2276.0972,0.685,1180.9954,20,81.1315887287439,802.01374204738,1.56,2.4464998,1233.395,66.02
2007,2338.2761,0.636,1294.9424,20,85.97489793904023,1022.73247550475,1.453,2.5832999,1215.4408,65.77
2008,2362.4946,0.303,1261.435,11,85.33877313098922,993.503412459599,1.425,2.6378999,1198.2749,65.28
2009,2348.8794,1.176,1115.5985,5,81.47951998972701,1096.63613605864,1.467,2.5807998,1181.72,63.53
2010,2362.0,1.159,1351.2405,17,87.35996073741643,1350.63445681517,1.443,2.6764,1165.5522,63.31
2011,2397.0,0.364,1250.4109,13,93.43950381458095,1449.60330101065,1.391,2.8607,1149.7898,63.09
2012,2393.0002,0.487,1133.577,10,96.07447337274152,1434.01797842656,1.357,2.9635,1134.574,62.33
2013,2428.0,0.445,1350.3315,12,99.4259529628407,1438.05699513067,1.309,2.9775,1119.9474,64.69
2014,2458.0,0.536,1102.0253,16,100.99474887982774,1559.86377161811,1.215,2.9664,1106.1418,64.15
2015,2431.0,0.705,1160.0048,22,100.0,1590.17432166504,1.171,2.8539999,1093.0808,63.85
2016,2482.0002,1.077,1213.0834,16,103.54581233413593,1714.2795405846,1.212,2.9951,1080.2037,63.73
2017,2522.9998,0.962,1206.1223,18,109.45659179450763,1957.96981368095,1.114,3.1276999,1067.7925,63.43
2018,2535.0,0.881,1110.0332,23,114.17020891693758,1974.37773014516,1.081,3.2781,1056.2429,62.94
2019,2537.0,0.813,1374.6685,14,115.05390627076908,2050.16378973235,0.999,3.4161,1045.4684,63.12
2020,2550.0,0.529,1315.3904,11,111.43459195718538,1913.21972103493,0.948,3.3834,1035.5294,63.78
