Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1961","1961","°c","-0.214","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1962","1962","°c","-0.526","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1963","1963","°c","-0.062","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1964","1964","°c","0.002","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1965","1965","°c","-0.053","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1966","1966","°c","0.308","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1967","1967","°c","-0.213","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1968","1968","°c","-0.224","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1969","1969","°c","0.323","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1970","1970","°c","0.061","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1971","1971","°c","-0.485","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1972","1972","°c","0.019","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1973","1973","°c","0.346","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1974","1974","°c","0.033","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1975","1975","°c","-0.299","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1976","1976","°c","0.01","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1977","1977","°c","0.162","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1978","1978","°c","-0.161","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1979","1979","°c","0.299","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1980","1980","°c","0.391","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1981","1981","°c","0.068","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1982","1982","°c","-0.021","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1983","1983","°c","-0.165","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1984","1984","°c","-0.15","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1985","1985","°c","0.179","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1986","1986","°c","0.163","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1987","1987","°c","0.564","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1988","1988","°c","0.479","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1989","1989","°c","-0.029","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1990","1990","°c","-0.098","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1991","1991","°c","0.179","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1992","1992","°c","0.017","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1993","1993","°c","0.211","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1994","1994","°c","0.1","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1995","1995","°c","0.224","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1996","1996","°c","0.319","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1997","1997","°c","-0.092","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1998","1998","°c","0.588","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","1999","1999","°c","0.467","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2000","2000","°c","0.356","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2001","2001","°c","0.479","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2002","2002","°c","0.831","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.689","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.57","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.606","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.685","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2007","2007","°c","0.636","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2008","2008","°c","0.303","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.176","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2010","2010","°c","1.159","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.364","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2012","2012","°c","0.487","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.445","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2014","2014","°c","0.536","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2015","2015","°c","0.705","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.077","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2017","2017","°c","0.962","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2018","2018","°c","0.881","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2019","2019","°c","0.813","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2020","2020","°c","0.529","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2021","2021","°c","0.734","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.784","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2023","2023","°c","0.894","E","Estimated value"
