Entity,Code,Year,Annual precipitation
India,IND,1985,1011.7491
India,IND,1986,1062.8413
India,IND,1987,895.0952
India,IND,1988,1237.4207
India,IND,1989,1141.2878
India,IND,1990,1431.0149
India,IND,1991,1134.923
India,IND,1992,1000.0663
India,IND,1993,1174.9967
India,IND,1994,1275.7301
India,IND,1995,1186.0588
India,IND,1996,1191.4233
India,IND,1997,1206.3059
India,IND,1998,1201.0219
India,IND,1999,1088.3833
India,IND,2000,1079.3531
India,IND,2001,1107.9401
India,IND,2002,999.93604
India,IND,2003,1225.7537
India,IND,2004,1104.7363
India,IND,2005,1156.1407
India,IND,2006,1180.9954
India,IND,2007,1294.9424
India,IND,2008,1261.435
India,IND,2009,1115.5985
India,IND,2010,1351.2405
India,IND,2011,1250.4109
India,IND,2012,1133.577
India,IND,2013,1350.3315
India,IND,2014,1102.0253
India,IND,2015,1160.0048
India,IND,2016,1213.0834
India,IND,2017,1206.1223
India,IND,2018,1110.0332
India,IND,2019,1374.6685
India,IND,2020,1315.3904
India,IND,2021,1241.8716
India,IND,2022,1277.7179
India,IND,2023,1157.6791
