Entity,Code,Year,Daily calorie supply per person
India,IND,1985,2162.1345
India,IND,1986,2162.8777
India,IND,1987,2174.6326
India,IND,1988,2276.285
India,IND,1989,2365.2285
India,IND,1990,2201.0454
India,IND,1991,2290.3003
India,IND,1992,2323.17
India,IND,1993,2256.157
India,IND,1994,2275.4902
India,IND,1995,2303.5742
India,IND,1996,2319.844
India,IND,1997,2340.933
India,IND,1998,2329.3618
India,IND,1999,2362.3123
India,IND,2000,2340.9822
India,IND,2001,2290.9014
India,IND,2002,2240.0474
India,IND,2003,2233.7463
India,IND,2004,2205.0957
India,IND,2005,2215.9458
India,IND,2006,2276.0972
India,IND,2007,2338.2761
India,IND,2008,2362.4946
India,IND,2009,2348.8794
India,IND,2010,2362
India,IND,2011,2397
India,IND,2012,2393.0002
India,IND,2013,2428
India,IND,2014,2458
India,IND,2015,2431
India,IND,2016,2482.0002
India,IND,2017,2522.9998
India,IND,2018,2535
India,IND,2019,2537
India,IND,2020,2550
India,IND,2021,2569
